iteration,local_LB,local_UB,LB,UB,gap
1,43.0,170,43.0,170,0.747
2,-4.0,48,43.0,48,0.104
3,17.0,48,43.0,48,0.104
4,30.833,54,43.0,48,0.104
5,35.667,52,43.0,48,0.104
6,42.133,48,43.0,48,0.104
7,44.65,48,44.65,48,0.07
8,45.798,48,45.798,48,0.046
9,46.927,53,46.927,48,0.022
10,46.982,48,46.982,48,0.021
11,46.533,48,46.982,48,0.021
12,47.055,48,47.055,48,0.02
13,47.33,48,47.33,48,0.014
14,47.699,48,47.699,48,0.006
15,46.964,48,47.699,48,0.006
16,47.392,48,47.699,48,0.006
17,47.482,48,47.699,48,0.006
18,47.803,48,47.803,48,0.004
CPU time: 107.85614347457886
