iteration,local_LB,local_UB,LB,UB,gap
1,11.0,92,11.0,92,0.88
2,-60.0,12,11.0,12,0.083
3,-26.5,14,11.0,12,0.083
4,-6.5,14,11.0,12,0.083
5,-1.333,12,11.0,12,0.083
6,3.283,13,11.0,12,0.083
7,7.417,12,11.0,12,0.083
8,9.631,13,11.0,12,0.083
9,10.924,12,11.0,12,0.083
10,11.217,13,11.217,12,0.065
11,9.069,12,11.217,12,0.065
12,11.512,12,11.512,12,0.041
13,11.669,12,11.669,12,0.028
14,11.733,12,11.733,12,0.022
15,10.822,12,11.733,12,0.022
16,11.742,13,11.742,12,0.021
17,11.769,12,11.769,12,0.019
18,11.818,12,11.818,12,0.015
19,11.081,12,11.818,12,0.015
20,11.879,12,11.879,12,0.01
21,11.83,12,11.879,12,0.01
22,11.934,12,11.934,12,0.006
23,11.244,12,11.934,12,0.006
24,11.97,12,11.97,12,0.002
CPU time: 137.30705952644348
