iteration,local_LB,local_UB,LB,UB,gap
1,44.0,227,44.0,227,0.806
2,-61.0,57,44.0,57,0.228
3,-10.5,80,44.0,57,0.228
4,7.833,72,44.0,57,0.228
5,17.083,64,44.0,57,0.228
6,34.4,66,44.0,57,0.228
7,42.95,72,44.0,57,0.228
8,41.505,57,44.0,57,0.228
9,49.525,54,49.525,54,0.083
10,50.475,57,50.475,54,0.065
11,51.574,54,51.574,54,0.045
12,51.405,64,51.574,54,0.045
13,51.114,54,51.574,54,0.045
14,53.015,57,53.015,54,0.018
15,51.815,54,53.015,54,0.018
16,53.632,54,53.632,54,0.007
17,53.728,54,53.728,54,0.005
18,53.787,54,53.787,54,0.004
CPU time: 97.52150988578796
