iteration,local_LB,local_UB,LB,UB,gap
1,25.0,159,25.0,159,0.843
2,-15.0,46,25.0,46,0.457
3,2.0,74,25.0,46,0.457
4,10.5,46,25.0,46,0.457
5,21.083,64,25.0,46,0.457
6,29.883,65,29.883,46,0.35
7,28.983,64,29.883,46,0.35
8,37.829,59,37.829,46,0.178
9,39.546,56,39.546,46,0.14
10,37.285,46,39.546,46,0.14
11,42.06,50,42.06,46,0.086
12,42.084,56,42.084,46,0.085
13,41.755,50,42.084,46,0.085
14,43.952,46,43.952,46,0.045
15,44.338,51,44.338,46,0.036
16,43.509,46,44.338,46,0.036
17,44.788,50,44.788,46,0.026
18,44.157,46,44.788,46,0.026
19,45.084,59,45.084,46,0.02
20,45.02,46,45.084,46,0.02
21,45.341,50,45.341,46,0.014
22,44.792,46,45.341,46,0.014
23,45.63,46,45.63,46,0.008
24,45.683,46,45.683,46,0.007
25,45.684,46,45.684,46,0.007
26,45.724,46,45.724,46,0.006
27,45.724,46,45.724,46,0.006
28,45.761,46,45.761,46,0.005
29,45.763,46,45.763,46,0.005
30,45.797,46,45.797,46,0.004
CPU time: 176.83588337898254
