iteration,local_LB,local_UB,LB,UB,gap
1,18.0,110,18.0,110,0.836
2,10.0,52,18.0,52,0.654
3,20.5,65,20.5,52,0.606
4,27.333,52,27.333,52,0.474
5,41.25,52,41.25,52,0.207
6,43.733,62,43.733,52,0.159
7,46.833,52,46.833,52,0.099
8,48.626,52,48.626,52,0.065
9,48.977,61,48.977,52,0.058
10,48.651,52,48.977,52,0.058
11,49.752,52,49.752,52,0.043
12,49.927,52,49.927,52,0.04
13,50.264,52,50.264,52,0.033
14,50.48,52,50.48,52,0.029
15,50.658,52,50.658,52,0.026
16,50.824,52,50.824,52,0.023
17,51.093,52,51.093,52,0.017
18,51.139,52,51.139,52,0.017
19,51.319,52,51.319,52,0.013
20,51.415,52,51.415,52,0.011
21,51.416,52,51.416,52,0.011
22,51.477,52,51.477,52,0.01
23,51.56,52,51.56,52,0.008
24,51.563,52,51.563,52,0.008
25,51.614,52,51.614,52,0.007
26,51.689,52,51.689,52,0.006
27,51.691,52,51.691,52,0.006
28,51.734,52,51.734,52,0.005
29,51.802,52,51.802,52,0.004
CPU time: 154.73308849334717
