iteration,local_LB,local_UB,LB,UB,gap
1,112.0,245,112.0,245,0.543
2,165.0,194,165.0,194,0.149
3,161.0,195,165.0,194,0.149
4,166.667,194,166.667,194,0.141
5,176.417,197,176.417,194,0.091
6,181.467,198,181.467,194,0.065
7,180.317,195,181.467,194,0.065
8,186.907,198,186.907,194,0.037
9,182.69,195,186.907,194,0.037
10,188.141,192,188.141,192,0.02
11,187.926,195,188.141,192,0.02
12,186.792,194,188.141,192,0.02
13,187.616,195,188.141,192,0.02
14,189.155,192,189.155,192,0.015
15,189.125,198,189.155,192,0.015
16,187.625,192,189.155,192,0.015
17,189.876,192,189.876,192,0.011
18,189.935,194,189.935,192,0.011
19,189.555,192,189.935,192,0.011
20,190.274,192,190.274,192,0.009
21,190.532,192,190.532,192,0.008
22,190.476,197,190.532,192,0.008
23,189.629,192,190.532,192,0.008
24,190.549,194,190.549,192,0.008
25,189.852,195,190.549,192,0.008
26,189.816,194,190.549,192,0.008
27,190.226,192,190.549,192,0.008
28,190.759,192,190.759,192,0.006
29,190.901,192,190.901,192,0.006
30,190.945,192,190.945,192,0.005
31,191.077,192,191.077,192,0.005
CPU time: 141.30897974967957
