iteration,local_LB,local_UB,LB,UB,gap
1,63.0,232,63.0,232,0.728
2,-6.0,83,63.0,83,0.241
3,32.0,82,63.0,82,0.232
4,46.833,99,63.0,82,0.232
5,52.417,99,63.0,82,0.232
6,61.4,78,63.0,78,0.192
7,67.933,94,67.933,78,0.129
8,73.002,87,73.002,78,0.064
9,72.7,78,73.002,78,0.064
10,73.312,83,73.312,78,0.06
11,74.397,78,74.397,78,0.046
12,75.868,85,75.868,78,0.027
13,75.164,78,75.868,78,0.027
14,76.145,82,76.145,78,0.024
15,75.296,78,76.145,78,0.024
16,76.724,84,76.724,78,0.016
17,74.946,78,76.724,78,0.016
18,76.567,83,76.724,78,0.016
19,76.27,78,76.724,78,0.016
20,77.29,78,77.29,78,0.009
21,77.349,78,77.349,78,0.008
22,77.46,78,77.46,78,0.007
23,77.492,78,77.492,78,0.007
24,77.594,78,77.594,78,0.005
25,77.545,87,77.594,78,0.005
26,76.507,78,77.594,78,0.005
27,77.636,78,77.636,78,0.005
CPU time: 138.40501308441162
