iteration,local_LB,local_UB,LB,UB,gap
1,63.0,232,63.0,232,0.728
2,104.0,174,104.0,174,0.402
3,98.0,161,104.0,161,0.354
4,112.667,185,112.667,161,0.3
5,127.667,162,127.667,161,0.207
6,133.967,170,133.967,161,0.168
7,142.383,162,142.383,161,0.116
8,140.15,170,142.383,161,0.116
9,143.949,176,143.949,161,0.106
10,147.591,170,147.591,161,0.083
11,146.162,172,147.591,161,0.083
12,149.32,174,149.32,161,0.073
13,147.645,162,149.32,161,0.073
14,149.132,167,149.32,161,0.073
15,151.251,162,151.251,161,0.061
16,149.705,174,151.251,161,0.061
17,151.609,176,151.609,161,0.058
18,151.702,170,151.702,161,0.058
19,152.891,162,152.891,161,0.05
20,151.824,161,152.891,161,0.05
21,154.838,170,154.838,161,0.038
22,151.95,171,154.838,161,0.038
23,153.839,161,154.838,161,0.038
24,155.112,173,155.112,161,0.037
25,151.623,161,155.112,161,0.037
26,155.644,167,155.644,161,0.033
27,153.584,162,155.644,161,0.033
28,154.352,161,155.644,161,0.033
29,155.469,185,155.644,161,0.033
30,153.75,161,155.644,161,0.033
31,155.797,162,155.797,161,0.032
32,154.261,173,155.797,161,0.032
33,154.951,162,155.797,161,0.032
34,154.751,161,155.797,161,0.032
35,155.949,189,155.949,161,0.031
36,154.935,161,155.949,161,0.031
37,156.196,170,156.196,161,0.03
38,155.091,184,156.196,161,0.03
39,156.007,167,156.196,161,0.03
40,155.565,161,156.196,161,0.03
41,156.519,170,156.519,161,0.028
42,155.663,161,156.519,161,0.028
43,156.614,174,156.614,161,0.027
44,154.962,161,156.614,161,0.027
45,156.834,162,156.834,161,0.026
46,155.549,167,156.834,161,0.026
47,156.267,172,156.834,161,0.026
48,156.327,170,156.834,161,0.026
49,155.981,176,156.834,161,0.026
50,156.641,161,156.834,161,0.026
51,156.838,174,156.838,161,0.026
52,155.574,161,156.838,161,0.026
53,157.269,161,157.269,161,0.023
54,156.958,173,157.269,161,0.023
55,155.872,161,157.269,161,0.023
56,157.041,172,157.269,161,0.023
57,156.326,161,157.269,161,0.023
58,156.996,174,157.269,161,0.023
59,156.48,161,157.269,161,0.023
60,156.932,173,157.269,161,0.023
61,156.389,161,157.269,161,0.023
62,157.458,167,157.458,161,0.022
63,156.611,162,157.458,161,0.022
64,156.679,174,157.458,161,0.022
65,157.135,171,157.458,161,0.022
66,156.439,170,157.458,161,0.022
67,157.103,171,157.458,161,0.022
68,157.166,170,157.458,161,0.022
69,156.858,162,157.458,161,0.022
70,157.047,173,157.458,161,0.022
71,156.93,162,157.458,161,0.022
72,157.128,167,157.458,161,0.022
73,157.057,161,157.458,161,0.022
74,157.373,180,157.458,161,0.022
75,156.85,161,157.458,161,0.022
76,157.615,170,157.615,161,0.021
77,157.144,171,157.615,161,0.021
78,157.062,161,157.615,161,0.021
79,157.402,174,157.615,161,0.021
80,156.952,161,157.615,161,0.021
81,157.402,162,157.615,161,0.021
82,157.559,174,157.615,161,0.021
83,157.055,162,157.615,161,0.021
84,157.272,167,157.615,161,0.021
85,157.24,162,157.615,161,0.021
86,157.281,170,157.615,161,0.021
87,157.359,162,157.615,161,0.021
88,157.585,161,157.615,161,0.021
89,157.372,173,157.615,161,0.021
90,157.234,161,157.615,161,0.021
91,157.58,162,157.615,161,0.021
92,157.436,167,157.615,161,0.021
93,157.268,162,157.615,161,0.021
94,157.322,174,157.615,161,0.021
95,157.497,162,157.615,161,0.021
96,157.388,167,157.615,161,0.021
97,157.246,162,157.615,161,0.021
98,157.559,161,157.615,161,0.021
99,157.633,174,157.633,161,0.021
100,157.24,161,157.633,161,0.021
CPU time: 487.21685123443604
