iteration,local_LB,local_UB,LB,UB,gap
1,112.0,245,112.0,245,0.543
2,127.0,156,127.0,156,0.186
3,120.0,170,127.0,156,0.186
4,126.0,154,127.0,154,0.175
5,139.833,157,139.833,154,0.092
6,141.067,161,141.067,154,0.084
7,142.817,152,142.817,152,0.06
8,146.279,161,146.279,152,0.038
9,146.045,152,146.279,152,0.038
10,149.061,154,149.061,152,0.019
11,149.525,156,149.525,152,0.016
12,148.99,152,149.525,152,0.016
13,149.604,154,149.604,152,0.016
14,149.781,156,149.781,152,0.015
15,149.55,152,149.781,152,0.015
16,150.323,161,150.323,152,0.011
17,150.482,152,150.482,152,0.01
18,151.185,156,151.185,152,0.005
19,150.808,152,151.185,152,0.005
20,151.755,152,151.755,152,0.002
CPU time: 100.66058611869812
