iteration,local_LB,local_UB,LB,UB,gap
1,14.0,153,14.0,153,0.908
2,-6.0,79,14.0,79,0.823
3,6.5,74,14.0,74,0.811
4,19.5,87,19.5,74,0.736
5,27.25,73,27.25,73,0.627
6,35.95,78,35.95,73,0.508
7,38.3,61,38.3,61,0.372
8,40.607,91,40.607,61,0.334
9,44.452,61,44.452,61,0.271
10,47.728,100,47.728,61,0.218
11,47.682,77,47.728,61,0.218
12,50.445,67,50.445,61,0.173
13,47.612,77,50.445,61,0.173
14,52.429,61,52.429,61,0.141
15,53.474,75,53.474,61,0.123
16,49.864,61,53.474,61,0.123
17,55.072,73,55.072,61,0.097
18,53.998,88,55.072,61,0.097
19,53.547,74,55.072,61,0.097
20,53.873,61,55.072,61,0.097
21,56.281,73,56.281,61,0.077
22,55.3,61,56.281,61,0.077
23,57.068,97,57.068,61,0.064
24,56.188,73,57.068,61,0.064
25,55.867,61,57.068,61,0.064
26,57.649,74,57.649,61,0.055
27,56.557,61,57.649,61,0.055
28,57.502,100,57.649,61,0.055
29,56.121,61,57.649,61,0.055
30,57.823,74,57.823,61,0.052
31,57.536,61,57.823,61,0.052
32,58.148,79,58.148,61,0.047
33,57.668,61,58.148,61,0.047
34,58.944,74,58.944,61,0.034
35,57.245,79,58.944,61,0.034
36,58.312,61,58.944,61,0.034
37,58.859,91,58.944,61,0.034
38,56.934,61,58.944,61,0.034
39,59.119,73,59.119,61,0.031
40,58.494,61,59.119,61,0.031
41,59.416,67,59.416,61,0.026
42,58.156,72,59.416,61,0.026
43,58.674,61,59.416,61,0.026
44,59.477,79,59.477,61,0.025
45,58.616,61,59.477,61,0.025
46,59.883,74,59.883,61,0.018
47,58.712,61,59.883,61,0.018
48,59.684,79,59.883,61,0.018
49,58.917,61,59.883,61,0.018
50,59.938,73,59.938,61,0.017
51,59.04,67,59.938,61,0.017
52,58.937,61,59.938,61,0.017
53,59.784,75,59.938,61,0.017
54,58.444,61,59.938,61,0.017
55,60.171,67,60.171,61,0.014
56,59.238,77,60.171,61,0.014
57,59.519,79,60.171,61,0.014
58,59.334,74,60.171,61,0.014
59,59.666,61,60.171,61,0.014
60,59.783,75,60.171,61,0.014
61,59.037,61,60.171,61,0.014
62,60.343,87,60.343,61,0.011
63,59.936,74,60.343,61,0.011
64,59.497,79,60.343,61,0.011
65,59.693,61,60.343,61,0.011
66,60.315,75,60.343,61,0.011
67,59.263,61,60.343,61,0.011
68,60.357,75,60.357,61,0.011
69,59.248,61,60.357,61,0.011
70,60.472,67,60.472,61,0.009
71,59.804,73,60.472,61,0.009
72,59.926,61,60.472,61,0.009
73,60.531,75,60.531,61,0.008
74,59.615,61,60.531,61,0.008
75,60.52,75,60.531,61,0.008
76,59.547,61,60.531,61,0.008
77,60.59,67,60.59,61,0.007
78,60.288,73,60.59,61,0.007
79,59.967,67,60.59,61,0.007
80,60.21,61,60.59,61,0.007
81,60.629,73,60.629,61,0.006
82,60.239,67,60.629,61,0.006
83,60.095,72,60.629,61,0.006
84,60.509,61,60.629,61,0.006
85,60.736,79,60.736,61,0.004
CPU time: 556.305276632309
