iteration,local_LB,local_UB,LB,UB,gap
1,63.0,232,63.0,232,0.728
2,45.0,114,63.0,114,0.447
3,45.0,128,63.0,114,0.447
4,56.0,122,63.0,114,0.447
5,80.083,126,80.083,114,0.298
6,82.883,123,82.883,114,0.273
7,88.6,119,88.6,114,0.223
8,94.112,130,94.112,114,0.174
9,90.812,119,94.112,114,0.174
10,100.856,131,100.856,114,0.115
11,96.171,130,100.856,114,0.115
12,100.308,118,100.856,114,0.115
13,99.924,136,100.856,114,0.115
14,101.246,118,101.246,114,0.112
15,103.109,126,103.109,114,0.096
16,103.519,120,103.519,114,0.092
17,101.885,124,103.519,114,0.092
18,103.767,118,103.767,114,0.09
19,104.519,130,104.519,114,0.083
20,105.503,119,105.503,114,0.075
21,105.398,125,105.503,114,0.075
22,103.048,119,105.503,114,0.075
23,106.677,119,106.677,114,0.064
24,105.768,114,106.677,114,0.064
25,105.906,128,106.677,114,0.064
26,105.236,114,106.677,114,0.064
27,107.067,128,107.067,114,0.061
28,105.121,114,107.067,114,0.061
29,107.315,123,107.315,114,0.059
30,105.953,127,107.315,114,0.059
31,106.777,123,107.315,114,0.059
32,107.234,127,107.315,114,0.059
33,106.536,119,107.315,114,0.059
34,108.042,130,108.042,114,0.052
35,106.266,119,108.042,114,0.052
36,107.574,127,108.042,114,0.052
37,107.945,123,108.042,114,0.052
38,106.865,127,108.042,114,0.052
39,107.348,119,108.042,114,0.052
40,107.661,130,108.042,114,0.052
41,107.691,119,108.042,114,0.052
42,107.773,130,108.042,114,0.052
43,107.012,119,108.042,114,0.052
44,108.134,130,108.134,114,0.051
45,107.728,119,108.134,114,0.051
46,108.115,125,108.134,114,0.051
47,107.9,134,108.134,114,0.051
48,108.09,125,108.134,114,0.051
49,108.256,119,108.256,114,0.05
50,108.356,125,108.356,114,0.05
51,107.323,119,108.356,114,0.05
52,108.674,125,108.674,114,0.047
53,107.587,119,108.674,114,0.047
54,108.348,125,108.674,114,0.047
55,107.937,119,108.674,114,0.047
56,108.36,119,108.674,114,0.047
57,108.17,126,108.674,114,0.047
58,108.499,119,108.674,114,0.047
59,107.961,114,108.674,114,0.047
60,108.894,128,108.894,114,0.045
61,107.773,114,108.894,114,0.045
62,108.944,128,108.944,114,0.044
63,107.916,114,108.944,114,0.044
64,108.598,128,108.944,114,0.044
65,108.283,114,108.944,114,0.044
66,108.836,136,108.944,114,0.044
67,108.304,118,108.944,114,0.044
68,108.817,126,108.944,114,0.044
69,108.428,119,108.944,114,0.044
70,109.03,127,109.03,114,0.044
71,108.764,123,109.03,114,0.044
72,108.275,127,109.03,114,0.044
73,108.871,118,109.03,114,0.044
74,108.919,126,109.03,114,0.044
75,108.638,119,109.03,114,0.044
76,108.622,126,109.03,114,0.044
77,108.799,119,109.03,114,0.044
78,108.832,114,109.03,114,0.044
79,109.212,128,109.212,114,0.042
80,108.282,114,109.212,114,0.042
81,109.044,128,109.212,114,0.042
82,108.679,114,109.212,114,0.042
83,109.12,128,109.212,114,0.042
84,108.539,114,109.212,114,0.042
85,109.096,128,109.212,114,0.042
86,108.763,114,109.212,114,0.042
87,109.006,128,109.212,114,0.042
88,108.686,114,109.212,114,0.042
89,109.125,134,109.212,114,0.042
90,109.279,125,109.279,114,0.041
91,108.877,119,109.279,114,0.041
92,109.212,125,109.279,114,0.041
93,108.621,119,109.279,114,0.041
94,109.272,116,109.279,114,0.041
95,109.043,126,109.279,114,0.041
96,108.817,116,109.279,114,0.041
97,109.314,126,109.314,114,0.041
98,108.767,116,109.314,114,0.041
99,109.202,131,109.314,114,0.041
100,109.111,116,109.314,114,0.041
CPU time: 471.22581148147583
