iteration,local_LB,local_UB,LB,UB,gap
1,11.0,92,11.0,92,0.88
2,-40.0,22,11.0,22,0.5
3,-21.0,22,11.0,22,0.5
4,-9.5,41,11.0,22,0.5
5,-4.25,22,11.0,22,0.5
6,2.25,22,11.0,22,0.5
7,5.683,20,11.0,20,0.45
8,7.881,15,11.0,15,0.267
9,9.95,21,11.0,15,0.267
10,10.789,15,11.0,15,0.267
11,11.425,20,11.425,15,0.238
12,11.261,15,11.425,15,0.238
13,13.076,20,13.076,15,0.128
14,12.049,15,13.076,15,0.128
15,13.506,28,13.506,15,0.1
16,12.982,15,13.506,15,0.1
17,13.579,19,13.579,15,0.095
18,14.099,15,14.099,15,0.06
19,14.125,16,14.125,15,0.058
20,13.391,15,14.125,15,0.058
21,14.441,16,14.441,15,0.037
22,14.182,15,14.441,15,0.037
23,14.405,16,14.441,15,0.037
24,14.019,15,14.441,15,0.037
25,14.681,15,14.681,15,0.021
26,14.721,19,14.721,15,0.019
27,13.966,15,14.721,15,0.019
28,14.8,15,14.8,15,0.013
29,14.816,22,14.816,15,0.012
30,14.382,22,14.816,15,0.012
31,14.149,15,14.816,15,0.012
32,14.859,16,14.859,15,0.009
33,14.344,15,14.859,15,0.009
34,14.935,19,14.935,15,0.004
CPU time: 214.4496910572052
